Date,Alex Haley,Alice Walker,Ann Petry,Barbara Neely,Charles Chesnutt,Charles R. Johnson,Chester Himes,Claude McKay,Colson Whitehead,David Bradley,Edward P. Jones,Edwidge Danticat,Ernest J. Gaines,Gayl Jones,George Schuyler,Gloria Naylor,Gwendolyn Brooks,Henry Dumas,Ishmael Reed,Jacqueline Woodson,James Baldwin,James Weldon Johnson,Jean Toomer,Jesmyn Ward,John A. Williams,John Oliver Killens,Langston Hughes,Margaret Walker,Marlon James,Nalo Hopkinson,Nella Larsen,Octavia E. Butler,Paul Beatty,Paul Laurence Dunbar,Paule Marshall,Pauline Hopkins,Ralph Ellison,Richard Wright,Rudolph Fisher,Sister Souljah,Suzan-Lori Parks,Tayari Jones,Terry McMillan,Toni Cade Bambara,Toni Morrison,W.E.B. Bois,Walter Mosley,Zora Neale Hurston
9/1/2019,14369,37233,861,175,148,1015,2340,5158,17048,204,1595,4940,1855,967,1106,1526,5975,933,2628,8882,68422,6084,2422,5854,29,317,51482,1424,121,1344,2032,17791,2992,6881,1246,817,10231,14471,437,8441,3668,3722,4796,3257,86189,34,33684,24557
10/1/2019,14757,37557,1334,201,159,1162,2692,6756,13208,243,1462,4200,2193,1369,1144,1406,8822,822,2963,10934,66171,6789,2854,5826,32,344,54467,1392,170,1412,3037,19166,3247,7735,984,1018,11468,15076,726,5615,4040,3664,4761,2672,77912,60,7169,31243
11/1/2019,21394,36700,1228,248,161,881,2436,6772,17238,244,1575,4139,26631,1287,1177,1387,7260,812,2542,8048,62106,6639,2824,5439,32,329,64990,1608,158,1386,3479,19441,3162,6582,896,779,11913,14175,537,5817,3667,3353,3999,2821,74671,32,6144,28206
12/1/2019,16733,33082,1294,370,159,868,2296,5906,13092,202,1448,3075,3626,829,1108,1340,6261,748,2610,6633,62740,6023,2731,5094,29,284,45976,1345,138,1424,2812,20428,3201,5848,1051,669,14315,12232,484,6560,2864,3841,4233,2343,76847,27,6880,26741
1/1/2020,18264,38896,1475,310,164,1022,2483,7761,14691,284,1446,4098,3387,923,1370,1683,9933,857,3386,7327,66312,9997,3477,6231,46,435,68081,1703,193,1655,3249,25346,3597,8107,1061,808,13580,15287,694,5974,3070,4927,5378,2445,88321,34,7957,44924
2/1/2020,49311,48921,2163,294,132,1005,2682,15688,11670,257,1547,4435,3436,1064,1860,2152,18003,1101,3817,6941,117087,19454,4887,5362,30,466,124216,2460,138,1734,4448,27005,3289,15111,1173,1059,18521,22033,1220,7591,3547,4461,4758,3059,103506,67,7372,63997
3/1/2020,18643,41435,1353,6694,134,704,2462,8162,9521,228,1288,3682,2328,760,1378,1197,7949,664,2816,5903,58611,8080,3777,4571,25,356,61152,1682,121,1483,3124,25852,2844,6720,829,808,14149,13560,651,10536,2919,3317,5391,2541,63042,36,8003,35324
4/1/2020,20250,46338,1326,1041,131,957,3095,7230,10484,238,1492,4297,2663,999,1996,1838,7591,695,5126,5484,69280,6830,3568,5139,22,537,56442,1544,137,1711,3833,26290,3578,7164,995,713,14515,14018,556,9892,3989,3716,7701,2497,69122,38,7589,30841
5/1/2020,21050,47022,2981,703,94,853,2875,6745,59225,254,1421,3867,2223,839,1295,1264,8960,1245,3811,5819,131517,6642,3031,5085,18,403,56166,1553,131,1535,3616,28796,3734,6914,837,531,13880,15895,451,12225,3009,3839,7579,2597,72171,26,6973,29376
6/1/2020,41712,73477,2300,1022,146,1296,4631,8261,32722,396,2073,4302,3588,1952,2199,2099,11643,3420,8890,8576,690760,22187,5044,12174,14,719,110840,2620,182,2902,8355,57523,6140,12614,950,732,45634,35606,463,14790,4123,6497,7464,4555,225282,61,11784,47196
