author,views
Claude McKay,224.1
Claude McKay,219.2
Claude McKay,233.0
Claude McKay,418.1
Claude McKay,332.6
Claude McKay,251.3
Claude McKay,228.9
Claude McKay,169.3
Claude McKay,147.7
Claude McKay,143.6
Claude McKay,193.5
Claude McKay,216.3
Claude McKay,200.5
Claude McKay,171.9
Claude McKay,234.7
Claude McKay,414.6
Claude McKay,390.5
Colson Whitehead,58.6
Colson Whitehead,54.6
Colson Whitehead,63.9
Colson Whitehead,65.3
Colson Whitehead,71.3
Colson Whitehead,53.4
Colson Whitehead,58.5
Colson Whitehead,60.9
Colson Whitehead,61.4
Colson Whitehead,64.4
Colson Whitehead,55.5
Colson Whitehead,53.5
Colson Whitehead,63.3
Colson Whitehead,1046.2
Colson Whitehead,456.8
Colson Whitehead,301.9
Colson Whitehead,516.0
Colson Whitehead,439.3
Colson Whitehead,515.9
Colson Whitehead,496.3
Colson Whitehead,400.7
Colson Whitehead,644.3
Colson Whitehead,385.0
Colson Whitehead,373.7
Colson Whitehead,429.3
Colson Whitehead,497.2
Colson Whitehead,435.4
Colson Whitehead,400.5
Colson Whitehead,367.6
Colson Whitehead,350.0
Colson Whitehead,409.2
Colson Whitehead,492.6
Colson Whitehead,355.6
Colson Whitehead,379.6
Colson Whitehead,303.3
Colson Whitehead,252.2
Colson Whitehead,253.1
Colson Whitehead,246.5
Colson Whitehead,255.0
Colson Whitehead,269.7
Colson Whitehead,230.9
Colson Whitehead,219.7
Colson Whitehead,268.6
Colson Whitehead,270.5
Colson Whitehead,264.9
Colson Whitehead,283.6
Colson Whitehead,212.2
Colson Whitehead,328.1
Colson Whitehead,1781.7
Colson Whitehead,748.7
Colson Whitehead,568.3
Colson Whitehead,426.1
Colson Whitehead,574.6
Colson Whitehead,422.3
Colson Whitehead,473.9
Colson Whitehead,402.4
Colson Whitehead,307.1
Colson Whitehead,349.5
Colson Whitehead,1910.5
Colson Whitehead,1090.7
Colson Whitehead,1132.0
Colson Whitehead,775.4
